,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1799,-1,1,1370000000.0,99.65,0.0,6.02,0.91,0.8,2.66,22.85,1.02,12.35,0.0,7.31,0.0,2.26,6.14,40.97,0.0,7.09,0
1800,-1,-1,34790000.0,98.54,0.0,5.42,0.74,0.36,1.9,15.66,13.45,11.31,8.48,7.86,0.0,12.59,5.68,0.0,24.97,0.0,0
1801,0,1,80900000.0,100.0,0.0,18.28,5.9,0.6,11.91,0.0,57.02,0.0,0.0,33.62,9.36,0.0,0.0,0.0,0.0,0.0,0
1802,-1,1,126650000.0,99.6,0.0,14.81,2.28,1.47,8.04,75.76,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0
1803,1,-1,53640000.0,100.0,0.0,15.94,1.96,1.11,8.01,4.99,13.09,17.28,8.35,3.65,14.25,3.58,1.37,3.32,14.31,15.79,0
1804,-1,1,125210000.0,24.61,0.0,5.99,0.87,0.82,2.64,22.95,1.01,12.37,0.0,7.28,0.0,2.23,6.22,41.0,0.0,6.92,0
1807,-1,0,9060000.0,99.83,0.0,14.92,2.04,1.24,7.62,4.2,20.65,14.02,6.52,6.64,9.42,4.65,1.03,5.97,16.13,10.76,0
1808,-1,-1,439110000.0,99.82,0.0,11.57,1.08,0.19,3.75,8.93,25.84,6.62,2.07,9.43,8.49,0.72,1.55,4.79,20.11,11.45,-1
1809,-1,0,356120000.0,100.0,0.0,11.91,1.4,0.33,5.44,6.92,21.43,9.71,3.47,3.88,6.71,2.08,0.44,9.4,20.02,15.95,0
1810,-1,1,1000000000.0,99.84,0.0,13.36,2.23,0.67,6.62,2.54,13.82,13.82,0.72,13.87,16.13,2.61,4.11,8.93,11.93,11.52,0
1812,1,0,2300000000.0,99.29,0.0,28.21,1.52,6.37,14.39,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1813,1,0,2910000000.0,99.78,0.0,42.77,2.3,6.95,16.81,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1814,-1,1,37680000.0,99.85,0.0,10.65,1.14,1.54,4.78,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1815,1,1,2360000000.0,98.76,0.0,19.04,1.02,5.69,11.84,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1817,0,1,203890000.0,99.6,0.0,16.02,2.57,1.08,9.46,0.0,91.99,0.0,0.0,3.48,0.72,0.0,0.0,0.0,0.25,3.56,0
1818,1,1,167440000.0,48.88,0.0,16.36,3.81,1.98,13.28,0.0,0.0,0.0,0.0,0.0,99.71,0.0,0.0,0.0,0.0,0.29,0
1819,1,1,200040000.0,99.54,0.0,19.7,1.62,0.98,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
1820,-1,1,270110000.0,99.46,0.0,11.44,1.37,1.77,5.22,0.0,0.0,98.47,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,-1
1821,0,1,740900000.0,99.89,0.0,16.74,3.05,1.07,9.24,0.0,0.0,0.0,0.0,0.0,98.39,0.0,0.0,0.0,0.0,1.61,0
1822,1,0,167360000.0,99.94,0.0,14.84,1.73,1.14,4.98,1.24,8.32,18.57,7.02,0.64,15.32,0.0,3.07,19.71,12.47,13.64,0
1823,0,1,1660000000.0,99.75,0.0,16.9,4.19,2.77,10.75,0.0,0.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,11.9,79.23,0
1824,-1,1,338900000.0,99.41,0.0,18.1,2.06,2.13,7.85,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0
1825,0,-1,243440000.0,99.82,0.0,18.08,2.43,1.21,6.13,4.84,17.18,10.06,7.19,4.44,18.1,0.0,1.94,8.61,9.87,17.76,-1
1826,-1,-1,190050000.0,99.75,0.0,11.06,0.92,0.24,3.52,17.05,33.13,5.75,2.79,6.48,3.36,0.0,0.23,6.12,16.67,8.43,-1
1829,1,1,334510000.0,98.19,0.0,14.27,1.87,2.24,8.03,16.31,3.94,39.31,7.34,7.16,8.66,2.06,1.2,5.81,5.58,2.61,0
1831,0,-1,198940000.0,99.96,0.0,11.47,2.95,4.65,5.76,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
1833,0,-1,4940000.0,99.41,0.0,18.77,1.98,1.22,9.16,2.95,11.62,10.35,5.93,4.28,13.95,1.31,1.15,3.12,18.28,27.06,0
1835,1,-1,7920000000.0,99.87,0.0,16.79,1.88,1.13,7.56,5.43,13.17,15.3,10.35,3.66,12.5,2.91,1.26,3.63,13.89,17.89,0
1836,1,1,14360000000.0,99.91,0.0,16.96,2.75,1.85,8.48,2.83,12.22,15.18,3.9,7.03,13.92,3.2,3.34,5.11,10.73,22.55,0
1837,1,-1,2080000000.0,99.25,0.0,13.87,1.3,0.8,5.85,11.1,14.16,10.82,10.43,6.08,7.56,2.44,1.68,4.87,19.25,11.62,0
